id	frequency	board	fill	hasQR
0053ec4563fb7324591ab128c3c89949	4058	Kw,Pw,Rb,Bw,Qb,Pb,Rw,Pw,Kb,,,,,,,Pb,Pb,,,,,,,Qb,Nw,,,Qb,Qb,,,Bw,Bb,,,Qb,Qb,,,Rb,Qw,,,,,,,Pw,Pw,,,,,,,Qw,Qb,Pw,Nb,Bb,Kw,Pb,Nw,Qb	darkGray	0
012b403649a58fdb0df2a375f4e9bcf6	2387	Rb,Qb,Bw,Rb,Pw,Qw,Bb,Rb,Nw,,,,,,,Nw,Qb,,,,,,,Bb,Kw,,,Pb,Pb,,,Kw,Rw,,,Pb,Pb,,,Pw,Nb,,,,,,,Nb,Qw,,,,,,,Bw,Rw,Pb,Rw,Bb,Qw,Pw,Rb,Qw	lightRed	0
013718922df03b07f1545d661ffa6e82	2347	Pw,Rw,Bb,Qb,Pb,Rb,Nw,Pb,Kb,,,,,,,Pw,Bw,,,,,,,Kw,Nb,,,,,,,Bw,Pw,,,,,,,Rb,Kw,,,,,,,Pb,Bb,,,,,,,Qb,Rw,Rb,Bw,Qb,Kw,Rw,Bb,Bw	darkGray	0
01caa1d46346cdbc480d0f8bd607f523	1816	Rw,Bw,Nb,Pb,Kb,Bb,Nw,Bw,Nw,,,,,,,Qw,Pb,,,,,,,Bb,Kb,,,Nb,Nb,,,Rw,Bw,,,Nb,Nb,,,Pb,Nb,,,,,,,Qb,Pw,,,,,,,Bw,Bw,Pw,Nb,Qb,Kw,Pb,Nw,Qb	lightRed	0
02252ded5e4d8c5454c741266672527b	1523	Qb,Pw,Rb,Bb,Qw,Pb,Rw,Bw,Nb,,,,,,,Nb,Bw,,,,,,,Rw,Kb,,,,,,,Kb,Pb,,,,,,,Qw,Nw,,,,,,,Nw,Bb,,,,,,,Rb,Rw,Kb,Qw,Nb,Rw,Kw,Qb,Qb	darkRed	0
028ba1e7ec55227472269d34a9180713	894	Pw,Bw,Nb,Pw,Kw,Bb,Nw,Bw,Pb,,,,,,,Nb,Nw,,,,,,,Qw,Bb,,,,,,,Kb,Kw,,,,,,,Rb,Pw,,,,,,,Bw,Rb,,,,,,,Qb,Bb,Pb,Qb,Nb,Rw,Pw,Qw,Kw	darkRed	0
02a0d23351ca9373dd26c0b43c745fee	381	Rw,Rw,Rw,Rw,Rw,Rw,Rw,Rw,Bb,,,,,,,Pw,Qw,,,,,,,Kw,Pw,,,,,,,Bb,Rb,,,,,,,Nw,Bw,,,,,,,Rb,Qb,,,,,,,Kb,Rb,Bw,Nb,Pb,Kb,Bb,Nw,Pw	darkRed	0
02faeb86ee5f300b59b1bde5ba068755	330	Bb,Bw,Kb,Pw,Nb,Bb,Kw,Bb,Qw,,,,,,,Pb,Nb,,,,,,,Kb,Rb,,,Nw,Nw,,,Bb,Kb,,,Nw,Nw,,,Nw,Bb,,,,,,,Pw,Nw,,,,,,,Kw,Qw,Rw,Bb,Qb,Pb,Rb,Bw,Qb	lightRed	0
0316cc4d1571a68f459d5a10aa245700	2460	Pw,Qb,Bw,Rw,Pb,Qw,Bb,Qb,Rb,,,,,,,Pw,Bw,,,,,,,Qw,Qw,,,,,,,Bb,Pw,,,,,,,Rw,Rw,,,,,,,Pb,Bb,,,,,,,Kb,Nw,Nb,Pw,Kb,Bw,Nw,Pb,Kb	lightRed	0
03b71a844da90971e14acaf7ba320291	521	Pw,Pw,Qw,Bw,Rb,Pb,Qb,Pw,Pb,,,,,,,Qb,Kb,,,,,,,Pb,Bb,,,Bw,Bw,,,Rw,Rw,,,Bw,Bw,,,Bb,Pw,,,,,,,Qw,Kw,,,,,,,Pw,Rb,Qb,Kw,Rb,Nw,Qw,Kb,Bw	lightGray	0
