id	frequency	board	fill
001ebeacb91dab5b72ea21b0853897f0	1801	Bb,Rw,Bb,Qw,Pw,Rb,Bw,Rb,Kw,,,,,,,Pw,Pw,,,,,,,Rb,Nw,,,Nw,Nw,,,Bb,Bb,,,Nw,Nw,,,Qw,Qb,,,,,,,Pb,Pb,,,,,,,Rw,Kb,Pb,Qb,Bw,Rb,Pw,Qw,Qw	darkGray	
003052c9905293d37c6993d0640a3b8f	1940	Kw,Rb,Pw,Qb,Bw,Rw,Kw,Qb,Nb,,,,,,,Pb,Rw,,,,,,,Nw,Kw,,,Nw,Nw,,,Qw,Qb,,,Nw,Nw,,,Kb,Nw,,,,,,,Rw,Rb,,,,,,,Nb,Nb,Bb,Qw,Pb,Nw,Bw,Kb,Bw	lightGray	
003af2f0a6513bdc0c59cd605ab366c0	1456	Nw,Kw,Pw,Nb,Bw,Kb,Rb,Kw,Rw,,,,,,,Qw,Pb,,,,,,,Bb,Qb,,,,,,,Nw,Bw,,,,,,,Pb,Rb,,,,,,,Qb,Pw,,,,,,,Bw,Bw,Pb,Kb,Bb,Nw,Pw,Kw,Nb	lightGray	
00590a7b4a2b647e18acad24249c6a9e	1166	Nb,Bb,Rw,Pw,Qw,Bw,Rb,Bw,Rw,,,,,,,Qb,Pb,,,,,,,Bw,Qw,,,Nw,Nw,,,Rw,Bb,,,Nw,Nw,,,Pb,Rb,,,,,,,Kw,Pw,,,,,,,Bb,Bb,Nb,Rw,Kb,Qw,Nw,Rb,Kw	darkRed	
0085b21165fa324ced57fc24c59b3483	1377	Qw,Pb,Rw,Bw,Qb,Pw,Rb,Qw,Bw,,,,,,,Nb,Rb,,,,,,,Rw,Pw,,,,,,,Kb,Qw,,,,,,,Qw,Bb,,,,,,,Nw,Rw,,,,,,,Rb,Bb,Qw,Pw,Rb,Bw,Qb,Pb,Pw	lightRed	
00878250addcf284bad71d7c9e5b85db	1074	Qw,Kw,Qb,Nw,Rb,Kb,Qw,Pb,Pw,,,,,,,Pb,Nb,,,,,,,Kb,Bb,,,,,,,Bb,Kw,,,,,,,Nw,Pb,,,,,,,Pw,Nw,,,,,,,Kw,Bb,Nw,Bb,Kb,Pb,Nb,Bw,Rb	darkGray	
008c4e0c0fb2c8f6c8949bfa67ad5717	1252	Nw,Nw,Bb,Kw,Pw,Nb,Bw,Kb,Bb,,,,,,,Nb,Qw,,,,,,,Rw,Pb,,,,,,,Kb,Rw,,,,,,,Qw,Bw,,,,,,,Nw,Qb,,,,,,,Rb,Kb,Qw,Bb,Rb,Pw,Qb,Bw,Qb	lightGray	
009ce3e2e0ddac6ef185ebdb84cbdd9a	1149	Nw,Pb,Nw,Bb,Kw,Pw,Nb,Pb,Nb,,,,,,,Nb,Pw,,,,,,,Pw,Kw,,,Pb,Pb,,,Kw,Bb,,,Pb,Pb,,,Bb,Nw,,,,,,,Nw,Pb,,,,,,,Pb,Rw,Pb,Nw,Bb,Kw,Pw,Nb,Qb	darkRed	
00c794ecf675b5c7b257e185a6b8b42c	1250	Qb,Nw,Pb,Kw,Bb,Nb,Pw,Nb,Bw,,,,,,,Nb,Nb,,,,,,,Rw,Pw,,,,,,,Kb,Kw,,,,,,,Qw,Bb,,,,,,,Nw,Nw,,,,,,,Rb,Qw,Bb,Nw,Pw,Kw,Bw,Nb,Nw	lightRed	
00fed1fd684fd153ed19604a96110420	784	Qw,Qb,Nw,Pw,Kw,Bw,Nb,Kb,Bb,,,,,,,Nw,Rw,,,,,,,Rb,Pb,,,,,,,Kw,Qb,,,,,,,Qb,Bw,,,,,,,Nb,Rb,,,,,,,Rw,Nb,Nb,Rw,Pb,Qb,Nw,Rb,Rw	lightRed	
